,Manufacturer,Classification,Designation,Primary Data,,,Refractive Indices,,,,,Dispersions,,,,,,Coefficients of Dispersion Formulae,,,,,,,Relative Internal Transmittance (at 10mm Thickness),,,,,,,,,,,Remarks,,,
,manufacturer,classification,glass,nd,vd,ve,nC,nd,ne,nF,ng,nF-nC,nd-nC,ng-nF,"?d,C","?g,F","??g,F",Formula,a1,a2,a3,a4,a5,a6,?0.80,?0.05,800nm,700nm,600nm,550nm,500nm,460nm,400nm,380nm,Std. Deviation,Precision Molding, i-line Capable,High Homogeneity,Other Comments
208,Hoya,Niobophosphate,E-FDS3,2.1042,17.02,16.88,2.0862,2.1042,2.1194,2.1511,2.1941,0.06488,0.01802,0.04302,0.2778,0.66307,0.0454,"Schott, n=2 m=4",4.112038700E+00,-1.82E-02,8.985210500E-02,7.871440000E-03,-5.22E-04,1.177306100E-04,458,417,99.40%,99.20%,98.20%,96.50%,92.50%,81.40%,0.00%,0.00%,44.15%,Not Specified,Not Specified,Not Specified,Consult manufacturer for available forms of supply.
253,Hoya,Lanthanide,TaFD65,2.0509,26.94,26.74,2.0397,2.0509,2.0601,2.0787,2.1023,0.039,0.01125,0.02361,0.2885,0.605385,0.0053,"Schott, n=2 m=4",4.011320200E+00,-1.78E-02,5.856933000E-02,4.320093200E-03,-3.11E-04,3.748563800E-05,423,367,99.70%,99.60%,99.40%,98.90%,96.20%,91.30%,60.90%,28.00%,26.24%,Not Specified,Not Specified,Not Specified,
109,Ohara,Lanthanide,S-LAH79,2.0033,28.3,28.1,1.993,2.0033,2.0117,2.0285,2.0497,0.03549,0.010289,0.021219,0.2899,0.598,0.0023,"Sellmeier, n=3",2.325571480E+00,5.079671330E-01,2.430871980E+00,1.328952080E-02,5.283354490E-02,1.611224080E+02,435,371,99.60%,98.80%,98.80%,97.90%,94.50%,88.00%,50.00%,16.00%,30.89%,Not Specified,Not Specified,Available,
873,CDGM,Lanthanide,H-ZLaF92,2.0033,28.32,28.1,1.9931,2.0033,2.0117,2.0285,2.0499,0.035432,0.010245,0.021373,0.2891,0.6032,0.0057,"Sellmeier, n=3",1.867622370E+00,1.230786200E+02,3.755691960E-01,5.966437300E-02,2.459331030E+00,1.414815800E-02,,370,98.70%,98.40%,97.60%,95.90%,91.30%,84.30%,52.10%,23.20%,27.78%,Not Specified,Not Specified,Not Specified,
207,Hoya,Niobophosphate,E-FDS2,2.0027,19.32,19.16,1.9881,2.0027,2.0149,2.04,2.0735,0.05191,0.0146,0.03349,0.2812,0.645155,0.0316,"Schott, n=2 m=4",3.767260300E+00,-1.70E-02,6.984963400E-02,6.386289200E-03,-5.08E-04,8.445552900E-05,443,402,99.80%,99.50%,99.30%,98.40%,95.40%,88.40%,3.20%,0.00%,44.24%,Not Specified,Not Specified,Not Specified,
321,Hoya,Niobophosphate,MP-FDS2,2.0018,19.33,19.17,1.9872,2.0018,2.0139,2.0391,2.0725,0.05184,0.0146,0.0334,0.2812,0.644676,0.0313,"Schott, n=2 m=4",3.771581000E+00,-2.77E-01,8.653687040E-01,4.159484027E-01,-1.50E-01,1.882757382E-02,462,403,99.90%,99.70%,99.10%,97.20%,91.10%,79.20%,2.00%,0.00%,43.77%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
322,Hoya,Niobophosphate,MC-FDS2,2.0018,19.33,19.17,1.9872,2.0018,2.0139,2.0391,2.0725,0.05184,0.0146,0.0334,0.2812,0.644676,0.0313,"Schott, n=2 m=4",3.771581000E+00,-2.77E-01,8.653687040E-01,4.159484027E-01,-1.50E-01,1.882757382E-02,443,402,99.80%,99.50%,99.30%,98.40%,95.40%,88.40%,3.20%,0.00%,44.24%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
251,Hoya,Lanthanide,TaFD55-W,2.001,29.13,28.92,1.9911,2.001,2.0091,2.0254,2.046,0.03435,0.0099,0.0206,0.2898,0.599709,0.0036,"Schott, n=2 m=4",3.831757800E+00,-1.53E-02,5.457384300E-02,2.310934600E-03,-4.45E-05,1.614388700E-05,392,360,99.90%,99.70%,99.60%,99.40%,98.60%,97.20%,86.40%,60.30%,13.82%,Not Specified,Not Specified,Not Specified,Transmission improved type.
320,Hoya,Niobophosphate,M-FDS2,2.0018,19.33,19.17,1.9872,2.0018,2.0139,2.0391,2.0725,0.05184,0.01457,0.03342,0.2812,0.644676,0.0313,"Schott, n=2 m=4",3.771581000E+00,-2.77E-01,8.653687040E-01,4.159484027E-01,-1.50E-01,1.882757382E-02,462,403,99.90%,99.70%,99.10%,97.20%,91.10%,79.20%,2.00%,0.00%,43.77%,Suitable,Not Specified,Not Specified,
896,CDGM,Lanthanide,D-ZF93,2.0017,20.7,20.53,1.9881,2.0017,2.0131,2.0365,2.0674,0.048391,0.01365,0.03092,0.282,0.6391,0.0286,"Schott, n=2 m=4",3.801253320E+00,-2.65E-02,4.811907150E-02,1.214210230E-02,-1.49E-03,1.368171580E-04,,405,99.00%,98.90%,98.60%,97.60%,91.80%,75.50%,1.80%,,35.70%,Suitable,Not Specified,Not Specified,
118,Ohara,Lanthanide,S-LAH99,2.001,29.1,28.9,1.991,2.001,2.0091,2.0254,2.046,0.03435,0.009952,0.020601,0.2897,0.5997,0.0054,"Sellmeier, n=3",2.391406620E+00,4.392192280E-01,2.383584670E+00,1.314675000E-02,5.532260420E-02,1.612599000E+02,407,360,99.90%,99.80%,99.80%,99.50%,98.00%,95.10%,76.00%,49.00%,18.31%,Not Specified,Not Specified,Available,
248,Hoya,Lanthanide,TaFD40-W,2.0007,25.46,25.26,1.9894,2.0007,2.01,2.0287,2.0528,0.03931,0.0113,0.0241,0.287,0.613584,0.0111,"Schott, n=2 m=4",3.810623200E+00,-1.64E-02,5.880109700E-02,3.491902600E-03,-1.69E-04,3.256933300E-05,400,368,99.80%,99.60%,99.50%,99.20%,98.30%,96.70%,79.90%,36.80%,22.03%,Not Specified,Not Specified,Not Specified,Transmission improved type.
621,Hikari,Lanthanide,J-LASFH16,2.001,29.12,28.9,1.991,2.001,2.0091,2.0254,2.046,0.034371,0.009961,0.020608,0.2898,0.5996,0.0041,"Sellmeier, n=3",1.088403810E-01,8.458350400E+01,2.545138440E-02,5.524599280E-02,4.600036030E-01,7.686664530E-03,406,364,99.20%,99.40%,99.60%,99.30%,97.80%,94.80%,76.00%,46.00%,19.12%,Not Specified,Not Specified,Not Specified,
252,Hoya,Lanthanide,TaFD55,2.001,29.13,28.92,1.9911,2.001,2.0091,2.0254,2.046,0.03435,0.00995,0.0206,0.2898,0.599709,0.0036,"Schott, n=2 m=4",3.831757800E+00,-1.53E-02,5.457384300E-02,2.310934600E-03,-4.45E-05,1.614388700E-05,406,363,99.80%,99.90%,99.80%,99.60%,98.10%,95.00%,74.90%,44.60%,19.83%,Not Specified,Not Specified,Not Specified,
623,Hikari,Lanthanide,J-LASFH17HS,2.0007,25.46,25.25,1.9894,2.0007,2.01,2.0287,2.0529,0.039311,0.0113,0.0241,0.2869,0.614,0.0123,"Sellmeier, n=3",1.001671100E-01,7.470660240E+01,2.871992840E-02,6.005283120E-02,4.547345350E-01,8.293182450E-03,419,374,99.00%,98.80%,98.40%,97.90%,95.90%,92.40%,63.00%,19.00%,28.57%,Not Specified,Not Specified,Not Specified,Transmission improved type.
249,Hoya,Lanthanide,TaFD40,2.0007,25.46,25.26,1.9894,2.0007,2.01,2.0287,2.0528,0.03931,0.01128,0.02412,0.287,0.613584,0.0111,"Schott, n=2 m=4",3.810623200E+00,-1.64E-02,5.880109700E-02,3.491902600E-03,-1.69E-04,3.256933300E-05,423,371,99.80%,99.70%,99.40%,98.80%,96.20%,91.90%,60.20%,21.90%,28.24%,Not Specified,Not Specified,Not Specified,
622,Hikari,Lanthanide,J-LASFH17,2.0007,25.46,25.25,1.9894,2.0007,2.01,2.0287,2.0529,0.039311,0.011277,0.024136,0.2869,0.614,0.0123,"Sellmeier, n=3",1.001671100E-01,7.470660240E+01,2.871992840E-02,6.005283120E-02,4.547345350E-01,8.293182450E-03,425,376,99.20%,99.30%,99.20%,98.50%,96.50%,92.10%,52.00%,11.00%,32.53%,Not Specified,Not Specified,Not Specified,
